original,pred_open,pred_high,pred_low
60.0,94.39,96.09,94.56
59.900002,97.1,98.74,97.11
60.349998,97.15,95.04,94.39
60.400002,94.65,94.65,94.5
62.5,95.01,95.01,94.58
63.200001,94.33,94.94,94.61
66.550003,94.33,93.17,94.14
65.349998,93.91,92.23,90.35
64.75,90.92,91.74,93.3
63.950001,94.39,92.8,93.62
64.449997,93.0,91.86,94.21
63.150002,94.25,91.5,92.03
63.0,90.92,88.44,88.72
62.700001,90.45,92.18,90.11
65.349998,90.96,90.75,90.35
64.050003,90.92,89.3,89.1
63.5,90.4,89.22,90.76
64.25,90.95,90.16,91.15
63.650002,91.25,89.68,90.04
64.849998,90.61,95.03,90.17
64.150002,95.9,97.38,97.22
64.900002,96.73,97.19,98.77
64.150002,96.6,96.78,94.48
63.400002,94.33,100.16,93.62
63.25,97.35,100.14,97.15
63.099998,97.3,97.16,97.19
62.849998,95.08,95.01,95.03
62.349998,93.68,95.08,94.39
63.900002,97.09,95.19,95.91
63.5,97.3,95.05,95.32
63.200001,94.43,95.06,95.14
63.950001,96.52,94.8,94.84
66.099998,94.81,95.07,96.17
65.699997,94.4,93.65,94.58
66.449997,96.09,97.05,95.91
66.800003,97.32,98.0,98.0
66.5,97.13,96.74,98.97
67.150002,97.09,110.8,99.07
68.099998,113.2,113.2,108.75
71.0,108.75,108.55,108.75
72.0,106.06,107.9,107.93
71.800003,108.15,110.35,107.95
70.650002,106.89,106.35,106.35
71.5,104.28,112.85,107.84
76.25,120.75,120.95,120.95
76.199997,126.2,125.42,119.08
75.550003,126.06,125.43,123.06
78.900002,122.12,120.54,119.0
80.599998,126.2,131.45,121.16
77.25,131.35,131.55,131.55
83.099998,125.9,126.6,127.44
82.599998,125.53,126.6,128.3
82.0,126.85,125.75,124.41
79.949997,126.08,124.44,127.07
78.550003,132.71,137.7,128.57
78.5,138.5,127.95,127.07
78.849998,129.45,126.24,129.25
77.300003,131.85,126.91,128.41
78.5,125.53,124.88,124.62
78.300003,125.64,125.6,121.92
78.349998,122.09,122.2,122.2
77.699997,122.1,120.98,122.53
79.900002,125.35,125.55,125.55
82.599998,125.9,126.6,125.7
82.050003,125.97,123.95,124.15
82.5,125.35,120.71,120.4
80.900002,124.25,120.98,122.17
79.300003,125.64,134.75,127.07
78.75,138.5,138.7,138.7
78.349998,137.85,137.65,137.65
76.150002,141.9,141.9,142.1
76.949997,146.5,146.3,146.5
75.300003,155.15,155.35,156.25
75.599998,153.46,167.69,156.88
74.150002,169.37,175.35,171.72
72.099998,172.31,170.19,170.3
74.0,160.51,169.9,161.58
74.75,169.83,164.3,164.85
75.0,164.42,166.45,165.58
