original,pred_open,pred_high,pred_low
60.0,105.67,109.4,86.48
59.900002,112.94,112.43,88.27
60.349998,110.9,107.34,86.16
60.400002,108.07,106.05,86.37
62.5,108.5,107.62,86.51
63.200001,106.98,106.42,86.55
66.550003,107.12,104.96,85.81
65.349998,104.87,104.15,83.56
64.75,100.58,103.29,81.6
63.950001,105.67,104.69,85.46
64.449997,104.14,103.56,85.88
63.150002,105.3,102.74,84.76
63.0,101.67,100.04,82.65
62.700001,98.54,104.1,83.42
65.349998,100.87,101.77,83.56
64.050003,100.58,100.58,82.93
63.5,99.49,100.52,83.88
64.25,101.3,101.23,84.23
63.650002,102.76,100.85,83.39
64.849998,99.85,107.45,83.46
64.150002,115.27,111.19,88.38
64.900002,113.74,110.86,89.22
64.150002,113.96,110.16,86.34
63.400002,107.12,114.27,85.46
63.25,117.3,114.33,88.3
63.099998,111.48,110.81,88.34
62.849998,108.58,107.78,86.94
62.349998,104.65,106.91,86.16
63.900002,110.76,108.43,87.43
63.5,111.48,108.1,87.11
63.200001,105.96,107.24,87.01
63.950001,109.96,106.21,86.79
66.099998,108.29,106.8,87.57
65.699997,107.56,105.29,86.51
66.449997,109.52,110.59,87.43
66.800003,111.78,111.89,88.9
66.5,112.87,110.11,89.29
67.150002,110.76,126.83,89.32
68.099998,130.39,127.91,96.49
71.0,134.02,125.26,96.49
72.0,127.63,120.44,95.71
71.800003,126.03,124.56,96.06
70.650002,127.12,119.25,93.54
71.5,123.85,124.02,95.29
76.25,132.57,134.73,99.86
76.199997,143.48,140.42,103.86
75.550003,151.84,141.34,106.53
78.900002,147.84,138.63,103.79
80.599998,143.48,146.75,104.77
77.25,161.65,149.46,111.44
83.099998,152.2,144.15,108.81
82.599998,152.78,144.15,109.27
82.0,154.75,140.9,107.37
79.949997,151.48,139.98,108.64
78.550003,157.36,154.11,109.44
78.5,165.29,151.4,108.64
78.849998,159.47,143.93,110.39
77.300003,156.57,144.37,109.34
78.5,152.78,140.15,107.48
78.300003,150.75,141.17,105.23
78.349998,147.33,137.06,105.51
77.699997,147.26,137.66,105.97
79.900002,153.66,141.23,107.93
82.599998,152.2,144.15,108.0
82.050003,152.06,139.82,107.23
82.5,153.66,138.74,104.46
80.900002,144.2,137.66,105.48
79.300003,150.75,148.75,108.64
78.75,165.29,159.31,115.66
78.349998,172.13,153.89,115.94
76.150002,173.65,157.14,117.7
76.949997,177.43,162.5,121.28
75.300003,192.92,174.46,129.0
75.599998,187.1,183.12,126.19
74.150002,212.12,197.41,137.78
72.099998,222.3,189.83,137.29
74.0,201.72,189.08,133.25
74.75,213.28,184.64,135.5
75.0,209.35,183.66,136.16
75.199997,214.88,198.77,139.61
72.300003,233.64,201.53,144.45
71.150002,232.04,197.2,125.98
70.550003,223.46,225.34,142.66
70.550003,259.52,222.58,154.32
70.849998,255.45,217.33,150.49
69.199997,242.8,210.24,151.47
69.449997,245.27,207.37,144.31
68.800003,233.64,209.1,142.49
67.849998,251.09,216.74,154.39
69.300003,256.91,217.66,150.77
69.599998,250.0,212.08,150.63
69.650002,244.4,206.88,150.14
69.099998,238.0,201.53,145.05
66.650002,228.55,200.06,146.21
62.950001,240.91,205.26,148.63
63.650002,234.8,200.01,146.8
65.599998,235.82,200.17,146.56
64.599998,232.18,203.58,146.63
66.0,237.27,222.2,150.42
64.050003,262.0,240.01,162.15
59.400002,281.63,234.0,168.08
58.25,278.21,258.09,167.7
56.650002,300.53,252.84,177.67
57.849998,299.08,258.9,163.52
55.799999,264.18,230.75,154.28
57.5,256.91,244.12,152.6
59.950001,283.16,238.12,159.2
61.0,252.83,218.25,154.28
60.5,252.54,224.26,157.79
61.950001,269.92,227.94,162.71
61.25,267.09,233.89,164.82
60.049999,272.54,228.37,163.41
57.599998,270.58,241.74,164.89
57.099998,277.27,233.57,166.92
58.549999,278.65,232.27,161.34
57.099998,274.43,236.17,167.28
56.950001,274.36,228.59,162.01
57.400002,259.81,222.64,160.32
55.25,257.85,225.23,158.22
56.650002,260.25,228.43,161.31
54.150002,253.49,224.04,158.25
55.299999,259.81,223.12,160.78
56.450001,264.18,222.42,160.99
57.0,265.34,232.92,163.98
56.75,271.45,233.89,166.36
53.799999,270.58,230.32,162.78
53.400002,270.87,229.56,164.22
53.099998,267.23,226.75,162.01
53.0,267.09,236.17,161.38
52.599998,265.85,226.75,162.5
53.0,264.18,232.0,163.41
52.400002,274.28,230.75,164.71
52.200001,273.48,229.67,165.03
53.25,267.96,231.84,165.24
53.599998,272.03,231.84,165.7
53.150002,272.9,230.7,164.5
53.799999,268.54,228.05,162.78
54.099998,263.67,229.78,163.17
53.349998,272.03,227.72,163.48
53.400002,269.56,229.4,164.96
54.599998,271.09,227.67,164.22
54.5,269.12,226.48,164.5
53.0,268.61,225.29,164.19
51.25,269.78,243.96,164.99
52.200001,285.99,265.13,173.95
53.650002,318.86,263.45,181.04
53.0,306.13,254.9,178.79
55.5,306.35,258.9,180.62
55.0,315.66,279.47,187.99
53.700001,317.98,262.15,182.37
51.400002,309.19,256.74,167.66
51.799999,281.77,236.71,163.06
55.5,270.65,237.47,162.71
59.950001,281.63,244.39,171.84
59.400002,284.54,247.53,171.91
56.799999,291.23,245.1,172.54
55.5,287.01,242.61,166.22
54.950001,282.72,234.81,161.45
56.0,263.81,221.44,156.5
56.0,262.72,224.53,161.27
55.0,255.45,224.26,159.2
57.0,262.72,224.42,160.5
54.700001,265.27,232.27,162.71
56.900002,277.27,237.79,165.56
57.0,274.36,236.17,167.49
57.0,273.63,228.05,162.75
56.349998,262.65,223.18,160.6
54.700001,265.63,232.16,163.24
55.099998,268.54,224.64,155.76
55.099998,254.65,214.9,154.25
54.0,251.09,211.27,153.93
54.150002,246.73,209.64,152.6
54.799999,248.69,217.66,154.99
54.25,259.81,223.18,160.85
54.0,259.89,244.29,161.1
52.75,292.83,246.23,171.84
53.650002,291.08,255.44,176.05
52.25,306.42,256.63,180.02
52.299999,317.11,263.23,182.02
50.900002,316.53,266.48,185.89
51.5,313.04,276.22,185.71
51.549999,324.67,266.05,183.92
52.700001,311.59,271.57,186.1
51.75,327.36,305.45,191.61
51.700001,371.06,309.24,203.79
52.549999,356.52,303.77,205.55
51.450001,368.88,320.61,211.17
51.200001,395.78,324.94,214.89
51.349998,378.12,310.86,207.87
52.799999,360.23,300.63,200.63
52.299999,350.05,291.92,197.19
52.150002,340.09,294.57,199.23
51.75,351.72,295.92,200.81
51.75,363.94,315.19,206.81
51.75,381.9,313.03,215.77
53.650002,382.11,320.39,219.31
53.400002,386.33,316.17,211.87
54.049999,363.79,302.04,209.62
51.650002,365.97,307.34,212.5
51.700001,376.15,305.99,209.9
50.549999,365.46,303.28,206.95
50.200001,358.99,296.79,208.36
48.75,361.61,297.06,204.18
