Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-June-2014,72.65,72.65,72.65,72.65,72.650000000000000000,4000,2,290600.00,4000,100.00,0.00,0.00
27-May-2014,66.05,66.05,66.05,66.05,66.050000000000000000,4000,2,264200.00,4000,100.00,0.00,0.00
26-May-2014,41.00,60.45,41.00,60.45,50.725000000000000000,8000,4,405800.00,4000,50.00,19.45,19.45
23-May-2014,50.00,50.40,50.00,50.40,50.200000000000000000,8000,4,401600.00,4000,50.00,0.40,0.40
29-April-2014,42.00,42.00,42.00,42.00,42.000000000000000000,4000,2,168000.00,4000,100.00,0.00,0.00
2-April-2014,42.00,42.00,42.00,42.00,42.000000000000000000,4000,1,168000.00,4000,100.00,0.00,0.00
14-March-2014,42.00,42.00,42.00,42.00,42.000000000000000000,4000,1,168000.00,4000,100.00,0.00,0.00
13-March-2014,35.50,35.50,35.50,35.50,35.500000000000000000,12000,2,426000.00,12000,100.00,0.00,0.00
12-March-2014,37.25,37.25,35.50,35.50,36.000000000000000000,128000,16,4608000.00,128000,100.00,1.75,-1.75
11-March-2014,35.50,35.50,35.50,35.50,35.500000000000000000,20000,5,710000.00,20000,100.00,0.00,0.00
10-March-2014,36.50,36.50,35.50,35.50,35.611111111111111111,36000,7,1282000.00,36000,100.00,1.00,-1.00
7-March-2014,35.50,35.50,35.00,35.00,35.130434782608695652,92000,23,3232000.00,92000,100.00,0.50,-0.50
6-March-2014,35.50,35.50,35.50,35.50,35.500000000000000000,4000,1,142000.00,4000,100.00,0.00,0.00
5-March-2014,35.00,35.00,35.00,35.00,35.000000000000000000,4000,1,140000.00,4000,100.00,0.00,0.00
3-March-2014,37.00,37.00,35.20,35.20,36.910000000000000000,80000,20,2952800.00,80000,100.00,1.80,-1.80
28-February-2014,37.00,37.00,37.00,37.00,37.000000000000000000,24000,6,888000.00,24000,100.00,0.00,0.00
26-February-2014,34.75,36.00,34.75,35.85,35.537500000000000000,48000,12,1705800.00,48000,100.00,1.25,1.10
