Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-March-2015,305.00,337.70,301.65,323.55,325.881670192519746138,244858,12173,79794734.00,41909,17.12,36.05,18.55
5-March-2015,302.00,315.00,299.50,310.25,310.746744321490972626,214625,7632,66694020.00,134023,62.45,15.50,8.25
4-March-2015,288.60,304.50,288.60,297.25,297.984787366433506415,139818,5311,41663637.00,59671,42.68,15.90,8.65
3-March-2015,274.00,291.80,274.00,286.90,286.758843869137334870,78953,5051,22640471.00,25990,32.92,17.80,12.90
2-March-2015,272.45,278.00,268.00,275.85,273.207111036395730015,11897,1027,3250345.00,5841,49.10,10.00,3.40
28-February-2015,271.50,274.10,267.00,273.50,271.993224137011150829,18743,1425,5097969.00,8711,46.48,7.10,2.00
27-February-2015,271.55,273.65,269.10,271.45,271.332827055488051842,9876,745,2679683.00,3898,39.47,4.55,-0.10
26-February-2015,279.00,279.00,269.00,271.35,272.737307189542483660,19125,1327,5216101.00,6891,36.03,10.00,-7.65
25-February-2015,271.65,278.00,268.70,274.95,274.312003697323641863,23801,1334,6528900.00,11477,48.22,9.30,3.30
24-February-2015,269.75,271.00,263.95,269.00,268.094607190412782956,30040,1731,8053562.00,13962,46.48,7.05,-0.75
23-February-2015,267.05,271.95,267.05,269.10,268.938413361169102296,18202,1378,4895217.00,6564,36.06,4.90,2.05
20-February-2015,270.00,275.90,267.55,268.65,268.956586130793355790,103308,1666,27785367.00,84066,81.37,8.35,-1.35
19-February-2015,276.50,277.00,267.50,269.05,270.762649158459694648,19191,993,5196206.00,4892,25.49,9.50,-7.45
18-February-2015,276.00,282.00,271.80,275.70,276.483579589639289346,33434,1881,9243952.00,9798,29.31,10.20,-0.30
16-February-2015,264.40,278.00,264.40,275.80,273.059323576780337511,71405,3232,19497801.00,31641,44.31,13.60,11.40
13-February-2015,266.05,267.25,260.25,261.60,264.281376756216565751,34022,1592,8991381.00,18002,52.91,7.00,-4.45
12-February-2015,265.30,269.00,263.20,264.70,265.267303742073769759,22394,1204,5940396.00,12177,54.38,5.80,-0.60
11-February-2015,263.15,268.90,263.15,265.15,265.925356365423776420,14241,1041,3787043.00,6321,44.39,5.75,2.00
10-February-2015,263.10,267.00,256.40,262.20,261.469196014481912569,33421,2120,8738562.00,10451,31.27,10.60,-0.90
9-February-2015,262.10,279.00,258.20,264.75,269.585101367279585101,89082,4176,24015180.00,33393,37.49,20.80,2.65
6-February-2015,268.45,273.00,263.00,264.80,267.250361336946702800,22140,1946,5916923.00,5141,23.22,10.00,-3.65
5-February-2015,266.00,279.00,266.00,268.65,274.354713342294430483,34222,1895,9388967.00,11069,32.34,13.00,2.65
4-February-2015,273.00,279.45,266.70,273.35,273.199225534580450442,35121,1853,9595030.00,15181,43.22,12.75,0.35
3-February-2015,267.00,274.00,265.75,272.15,270.465795511997822113,25713,1733,6954487.00,11326,44.05,8.25,5.15
2-February-2015,262.10,266.80,259.35,264.90,263.274709042076991942,22340,1252,5881557.00,8345,37.35,7.45,2.80
30-January-2015,267.00,270.00,260.65,262.20,264.415383014154870940,19216,1137,5081006.00,4810,25.03,9.35,-4.80
29-January-2015,264.80,274.50,263.00,267.30,268.521695859872611464,30144,1402,8094318.00,10457,34.69,11.50,2.50
28-January-2015,275.00,282.25,261.50,265.40,271.917212373619749568,72994,4241,19848325.00,16930,23.19,20.75,-9.60
27-January-2015,262.00,285.50,260.05,275.85,275.655685568178955588,158788,7925,43770815.00,36437,22.95,25.45,13.85
23-January-2015,259.00,263.20,256.55,259.55,258.500317695647569628,18886,851,4882037.00,12044,63.77,6.65,0.55
22-January-2015,261.70,261.90,256.05,256.80,257.761972633979475484,14032,756,3616916.00,4745,33.82,5.85,-4.90
21-January-2015,259.00,261.00,256.10,258.90,258.559588325958335404,20113,1103,5200409.00,6284,31.24,4.90,-0.10
20-January-2015,261.80,264.00,255.55,256.40,259.434856017259168933,21322,1068,5531670.00,9543,44.76,8.45,-5.40
19-January-2015,260.00,263.00,256.95,260.90,260.308876041489542594,23524,1208,6123506.00,7208,30.64,6.05,0.90
16-January-2015,258.10,260.20,254.20,258.00,258.204713057942888827,18035,891,4656722.00,5402,29.95,6.00,-0.10
15-January-2015,262.20,263.45,256.00,257.55,258.282398786123180909,28998,1425,7489673.00,9431,32.52,7.45,-4.65
14-January-2015,256.65,265.00,255.40,257.20,259.863836504112320345,24074,1292,6255962.00,5933,24.64,9.60,0.55
13-January-2015,257.50,258.00,251.00,257.05,255.431110674653834822,30549,1324,7803165.00,14430,47.24,7.00,-0.45
12-January-2015,256.30,261.70,255.40,256.60,257.805265718765205168,18497,1227,4768624.00,6880,37.20,6.30,0.30
9-January-2015,261.80,263.00,253.85,255.60,258.004533434076312806,18529,786,4780566.00,7275,39.26,9.15,-6.20
8-January-2015,258.10,261.90,256.25,259.10,259.165357651151757946,18971,1197,4916626.00,4119,21.71,5.65,1.00
7-January-2015,256.55,258.60,253.75,255.65,255.478062406322387246,29356,1989,7499814.00,15016,51.15,4.85,-0.90
6-January-2015,260.30,260.30,254.55,255.05,257.535111598003740220,180738,2147,46546381.00,165846,91.76,5.75,-5.25
5-January-2015,269.00,272.05,261.55,263.15,266.762973451327433628,28250,2140,7536054.00,9050,32.04,10.50,-5.85
2-January-2015,269.00,274.80,266.00,269.35,270.692734478203434610,30280,1749,8196576.00,9935,32.81,8.80,0.35
1-January-2015,270.00,272.70,268.00,268.75,269.750900163666121112,24440,1606,6592712.00,4730,19.35,4.70,-1.25
31-December-2014,266.25,275.40,265.45,270.00,271.092844470727380248,52421,2771,14210958.00,14409,27.49,9.95,3.75
30-December-2014,268.00,272.80,265.00,266.20,268.358228721202924541,36245,2196,9726644.00,15566,42.95,7.80,-1.80
29-December-2014,259.75,269.40,259.05,266.10,265.258138717144782723,68254,3504,18104929.00,24452,35.83,10.35,6.35
26-December-2014,257.00,259.60,253.00,257.55,257.065657989537324186,31923,1646,8206307.00,15129,47.39,6.60,0.55
24-December-2014,253.00,256.90,250.05,253.70,253.401287476040649524,27651,1795,7006799.00,10201,36.89,6.85,0.70
23-December-2014,256.00,259.00,249.55,251.00,254.731720309521139396,35668,2110,9085771.00,7808,21.89,9.45,-5.00
22-December-2014,254.50,257.70,250.55,254.30,255.372380440623320795,42803,2089,10930704.00,9254,21.62,7.15,-0.20
19-December-2014,248.90,254.00,247.00,250.65,250.642449109783680334,68972,2766,17287311.00,18230,26.43,7.00,1.75
18-December-2014,246.90,252.00,244.50,246.75,248.457535236718467654,38738,3427,9624748.00,13420,34.64,7.50,-0.15
17-December-2014,247.25,252.90,240.00,241.50,243.941797754825509920,111439,2262,27184630.00,90175,80.92,12.90,-5.75
16-December-2014,256.00,258.00,247.90,248.80,252.367931920080094023,45946,2838,11595297.00,13062,28.43,10.10,-7.20
15-December-2014,251.25,261.90,247.00,258.70,255.795974155069582504,60360,5138,15439845.00,18032,29.87,14.90,7.45
12-December-2014,262.00,262.70,248.20,252.00,256.546872760284772325,41858,2233,10738539.00,14529,34.71,14.50,-10.00
11-December-2014,264.00,266.60,257.00,258.50,262.347247781644589399,54883,2372,14398404.00,13721,25.00,9.60,-5.50
10-December-2014,254.00,268.50,254.00,264.50,261.718489035746470411,66580,3232,17425217.00,11594,17.41,14.50,10.50
9-December-2014,266.00,268.75,256.05,256.85,261.548626266854016562,33449,2326,8748540.00,11488,34.34,12.70,-9.15
8-December-2014,268.90,270.80,261.60,264.05,266.345859315173394595,36564,1679,9738670.00,11641,31.84,9.20,-4.85
5-December-2014,272.60,273.10,264.50,266.35,268.429617513839959738,39740,2116,10667393.00,16775,42.21,8.60,-6.25
4-December-2014,272.95,274.00,265.10,270.65,271.803071940327804495,40756,1707,11077606.00,15693,38.50,8.90,-2.30
3-December-2014,271.85,276.80,269.10,271.70,272.820915169243627246,47860,2218,13057209.00,11968,25.01,7.70,-0.15
2-December-2014,268.95,272.80,266.00,269.70,269.019739631393869865,80194,3044,21573769.00,12919,16.11,6.80,0.75
1-December-2014,273.90,278.75,265.10,266.80,270.860525167297061390,54992,1841,14895162.00,17048,31.00,13.65,-7.10
28-November-2014,278.75,282.80,271.90,272.90,277.246268395847170273,57214,2505,15862368.00,18606,32.52,10.90,-5.85
27-November-2014,272.80,281.70,270.40,277.45,275.397427393398509048,265334,7757,73072301.00,17661,6.66,11.30,4.65
26-November-2014,266.25,274.00,265.05,270.90,269.212399119589141599,89958,3877,24217809.00,22475,24.98,8.95,4.65
25-November-2014,274.65,277.00,258.00,266.70,269.104961563229493681,596304,6683,160468365.00,452129,75.82,19.00,-7.95
24-November-2014,274.20,282.50,272.00,274.65,274.910546763494912646,620067,6498,170462958.00,459711,74.14,10.50,0.45
21-November-2014,282.90,282.90,270.70,272.60,275.990235738147026338,147579,5717,40730363.00,43898,29.75,12.20,-10.30
20-November-2014,289.00,289.45,271.15,279.25,279.197598412104584944,192456,7388,53733253.00,46547,24.19,18.30,-9.75
19-November-2014,297.55,299.45,281.00,286.05,291.974052562365505698,200752,7271,58614375.00,54679,27.24,18.45,-11.50
18-November-2014,295.50,309.60,293.00,296.25,300.880991661946469251,404291,14948,121643477.00,76674,18.97,16.60,0.75
17-November-2014,293.00,302.05,291.50,295.60,295.963987210411174061,160443,5640,47485350.00,34076,21.24,10.55,2.60
14-November-2014,291.95,296.45,289.15,293.50,293.033466751360328162,130667,5241,38289804.00,18722,14.33,7.30,1.55
13-November-2014,297.30,301.60,289.00,290.45,295.096941180294829912,246108,7927,72625718.00,36815,14.96,12.60,-6.85
12-November-2014,292.70,304.00,290.40,296.70,298.566141062018646128,493400,14993,147312534.00,71018,14.39,13.60,4.00
11-November-2014,293.50,299.95,289.15,291.95,295.163714028011776518,411327,14213,121408805.00,68792,16.72,10.80,-1.55
10-November-2014,290.15,299.90,278.50,293.90,290.429948577975590375,552487,18255,160458771.00,93758,16.97,21.40,3.75
7-November-2014,259.25,290.60,251.10,286.10,276.025576831524487186,1014551,35593,280042025.00,193460,19.07,39.50,26.85
5-November-2014,283.00,288.70,258.00,260.70,272.811170058807705273,1174676,36729,320464734.00,165617,14.10,30.70,-22.30
3-November-2014,267.00,287.90,264.05,281.70,278.248641816727443408,1116381,32047,310631497.00,273228,24.47,23.85,14.70
31-October-2014,257.70,267.00,257.10,264.65,262.851187579435763929,211649,6745,55632191.00,70651,33.38,9.90,6.95
30-October-2014,256.50,261.55,253.65,255.30,257.235275493323412776,126337,4422,32498333.00,30899,24.46,7.90,-1.20
29-October-2014,265.00,265.00,256.00,256.85,259.828290441040646081,135339,4659,35164901.00,37008,27.34,9.00,-8.15
28-October-2014,253.50,264.00,252.10,261.70,257.368624445515650134,369262,8431,95036453.00,171927,46.56,11.90,8.20
27-October-2014,253.70,257.00,248.15,251.85,252.549361987911349899,128054,4499,32339956.00,36305,28.35,8.85,-1.85
23-October-2014,253.35,254.80,251.50,252.25,252.837175792507204610,38170,1450,9650795.00,16710,43.78,3.30,-1.10
22-October-2014,254.80,256.90,249.20,250.75,252.690792840574508670,150459,7559,38019604.00,32551,21.63,7.70,-4.05
21-October-2014,244.80,253.60,242.10,252.05,249.344679981756679715,210488,6204,52484063.00,52147,24.77,11.50,7.25
20-October-2014,245.00,250.75,241.00,242.35,245.798887692859705776,133776,5160,32881992.00,28559,21.35,9.75,-2.65
17-October-2014,241.00,247.65,227.05,239.35,239.677378823996821613,402720,13983,96522874.00,45104,11.20,20.60,-1.65
16-October-2014,256.00,258.00,233.30,236.55,243.645406199948691992,288454,8593,70280492.00,97365,33.75,24.70,-19.45
14-October-2014,260.00,262.90,255.35,257.20,259.689183823946457943,193941,6455,50364380.00,29867,15.40,7.55,-2.80
13-October-2014,256.00,260.20,251.10,255.70,255.322943925233644859,192600,6244,49175199.00,47844,24.84,9.10,-0.30
10-October-2014,264.80,265.00,256.20,257.20,261.476743364499187489,212305,7577,55512820.00,45013,21.20,8.80,-7.60
9-October-2014,267.10,273.20,263.80,266.40,268.839830086733968434,562640,19346,151260042.00,91195,16.21,9.40,-0.70
8-October-2014,258.30,267.40,256.00,265.15,262.303234032047372775,542759,17665,142367441.00,101660,18.73,11.40,6.85
7-October-2014,259.50,263.75,252.50,256.00,258.831189866379092456,474776,16534,122886837.00,64693,13.63,11.25,-3.50
1-October-2014,261.70,266.30,257.30,259.30,261.934504075978154678,499512,17315,130839428.00,59536,11.92,9.00,-2.40
30-September-2014,257.00,273.00,251.05,260.25,262.917620874784388095,1154273,35264,303478711.00,136016,11.78,21.95,3.25
29-September-2014,254.75,263.40,243.00,255.35,254.763552679783078693,969015,32522,246869704.00,95928,9.90,20.40,0.60
26-September-2014,262.90,266.70,246.80,253.05,255.886559980344310411,1131479,37838,289530269.00,125288,11.07,19.90,-9.85
25-September-2014,259.00,268.80,254.00,260.95,262.175004896240110845,2598933,85258,681375272.00,352815,13.58,14.80,1.95
24-September-2014,232.95,257.65,217.60,251.65,238.198264983921865005,4133564,128063,984607773.00,526488,12.74,40.05,18.70
23-September-2014,254.10,273.85,225.00,231.45,244.023509374307330068,9564440,256161,2333948214.00,2372377,24.80,48.85,-22.65
